sample_date,datetime,station_code,latitude,longitude,event_id,lab_comments,wy,tide,microcystis,secchi,water_temp,conductivity,specific_conductance,do,ph,turbidity,flag_pqc,comment_pqc,chlorophyll,pheophytin,diss_ammonia_sign,diss_ammonia,diss_calcium,diss_chloride,diss_nitrate_nitrite_sign,diss_nitrate_nitrite,doc,toc,don,diss_orthophos_sign,diss_orthophos,tot_phos,diss_silica,tds,tss,vss,tkn
2/3/1998,2/3/1998 9:13,SHR,NA,NA,SHR_1998-02-03 09:13:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/4/1998,2/4/1998 10:30,SHR,NA,NA,SHR_1998-02-04 10:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/11/1998,2/11/1998 9:22,SHR,NA,NA,SHR_1998-02-11 09:22:00,NA,NA,NA,NA,NA,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/17/1998,2/17/1998 9:43,SHR,NA,NA,SHR_1998-02-17 09:43:00,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/24/1998,2/24/1998 10:03,SHR,NA,NA,SHR_1998-02-24 10:03:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/4/1998,3/4/1998 9:46,SHR,NA,NA,SHR_1998-03-04 09:46:00,NA,NA,NA,NA,NA,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/10/1998,3/10/1998 9:38,SHR,NA,NA,SHR_1998-03-10 09:38:00,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/18/1998,3/18/1998 7:37,SHR,NA,NA,SHR_1998-03-18 07:37:00,NA,NA,NA,NA,NA,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/25/1998,3/25/1998 9:27,SHR,NA,NA,SHR_1998-03-25 09:27:00,NA,NA,NA,NA,NA,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/1/1998,4/1/1998 9:40,SHR,NA,NA,SHR_1998-04-01 09:40:00,NA,NA,NA,NA,NA,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/8/1998,4/8/1998 11:52,SHR,NA,NA,SHR_1998-04-08 11:52:00,NA,NA,NA,NA,NA,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/14/1998,5/14/1998 11:05,SHR,NA,NA,SHR_1998-05-14 11:05:00,NA,NA,NA,NA,NA,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
